############初赛数据复赛数据全量pretrain,bert(lr:5e-5, epoch:100, 对偶)###################################
{'loss': 3.9068, 'learning_rate': 4.9750035551763366e-05, 'epoch': 1.0}
{'train_runtime': 246782.8427, 'train_samples_per_second': 2.849, 'total_flos': 1.7020518443205796e+18, 'epoch': 100.0}
###############bert(lr:6e-5, epoch:150)
{'loss': 4.4841, 'learning_rate': 5.960011376564278e-05, 'epoch': 1.0}
{'loss': 3.0734, 'learning_rate': 5.9200227531285556e-05, 'epoch': 2.0}
{'loss': 2.6448, 'learning_rate': 5.880034129692833e-05, 'epoch': 3.0}
{'loss': 2.4107, 'learning_rate': 5.8400455062571104e-05, 'epoch': 4.0}
{'loss': 2.245, 'learning_rate': 5.800056882821388e-05, 'epoch': 5.0}
{'loss': 2.1144, 'learning_rate': 5.760068259385666e-05, 'epoch': 6.0}
{'loss': 2.0232, 'learning_rate': 5.7200796359499437e-05, 'epoch': 7.0}
{'loss': 1.9352, 'learning_rate': 5.6800910125142214e-05, 'epoch': 8.0}
{'loss': 1.8631, 'learning_rate': 5.6401023890784985e-05, 'epoch': 9.0}
{'loss': 1.8049, 'learning_rate': 5.600113765642776e-05, 'epoch': 10.0}
{'loss': 1.7497, 'learning_rate': 5.560125142207054e-05, 'epoch': 11.0}
{'loss': 1.6957, 'learning_rate': 5.520136518771331e-05, 'epoch': 12.0}
{'loss': 1.6536, 'learning_rate': 5.480147895335609e-05, 'epoch': 13.0}
{'loss': 1.6088, 'learning_rate': 5.440159271899886e-05, 'epoch': 14.0}
{'loss': 1.5739, 'learning_rate': 5.4001706484641635e-05, 'epoch': 15.0}
{'loss': 1.538, 'learning_rate': 5.360182025028441e-05, 'epoch': 16.0}
{'loss': 1.502, 'learning_rate': 5.320193401592719e-05, 'epoch': 17.0}
{'loss': 1.4766, 'learning_rate': 5.280204778156997e-05, 'epoch': 17.99}
{'loss': 1.4454, 'learning_rate': 5.2402161547212745e-05, 'epoch': 18.99}
{'loss': 1.4164, 'learning_rate': 5.2002275312855516e-05, 'epoch': 19.99}
{'loss': 1.3915, 'learning_rate': 5.160238907849829e-05, 'epoch': 20.99}
{'loss': 1.3642, 'learning_rate': 5.120250284414107e-05, 'epoch': 21.99}
{'loss': 1.3393, 'learning_rate': 5.080261660978385e-05, 'epoch': 22.99}
{'loss': 1.3224, 'learning_rate': 5.0402730375426625e-05, 'epoch': 23.99}
{'loss': 1.2998, 'learning_rate': 5.00028441410694e-05, 'epoch': 24.99}
{'loss': 1.2764, 'learning_rate': 4.960295790671217e-05, 'epoch': 25.99}
{'loss': 1.2546, 'learning_rate': 4.920307167235495e-05, 'epoch': 26.99}
{'loss': 1.2419, 'learning_rate': 4.880318543799773e-05, 'epoch': 27.99}
{'loss': 1.2207, 'learning_rate': 4.8403299203640505e-05, 'epoch': 28.99}
{'loss': 1.2068, 'learning_rate': 4.800341296928328e-05, 'epoch': 29.99}
{'loss': 1.1877, 'learning_rate': 4.760352673492605e-05, 'epoch': 30.99}
{'loss': 1.1696, 'learning_rate': 4.720364050056883e-05, 'epoch': 31.99}
{'loss': 1.1535, 'learning_rate': 4.680375426621161e-05, 'epoch': 32.99}
{'loss': 1.1387, 'learning_rate': 4.640386803185438e-05, 'epoch': 33.99}
{'loss': 1.1232, 'learning_rate': 4.6003981797497156e-05, 'epoch': 34.99}
{'loss': 1.1043, 'learning_rate': 4.5604095563139933e-05, 'epoch': 35.99}
{'loss': 1.0925, 'learning_rate': 4.5204209328782704e-05, 'epoch': 36.99}
{'loss': 1.0776, 'learning_rate': 4.480432309442548e-05, 'epoch': 37.99}
{'loss': 1.0678, 'learning_rate': 4.440443686006826e-05, 'epoch': 38.99}
{'loss': 1.0508, 'learning_rate': 4.4004550625711036e-05, 'epoch': 39.99}
{'loss': 1.0425, 'learning_rate': 4.3604664391353814e-05, 'epoch': 40.99}
{'loss': 1.0271, 'learning_rate': 4.3204778156996584e-05, 'epoch': 41.99}
{'loss': 1.0123, 'learning_rate': 4.280489192263936e-05, 'epoch': 42.99}
{'loss': 1.0025, 'learning_rate': 4.240500568828214e-05, 'epoch': 43.99}
{'loss': 0.9898, 'learning_rate': 4.2005119453924916e-05, 'epoch': 44.99}
{'loss': 0.9798, 'learning_rate': 4.1605233219567694e-05, 'epoch': 45.99}
{'loss': 0.9661, 'learning_rate': 4.120534698521047e-05, 'epoch': 46.99}
{'loss': 0.9552, 'learning_rate': 4.080546075085324e-05, 'epoch': 47.99}
{'loss': 0.9442, 'learning_rate': 4.040557451649602e-05, 'epoch': 48.99}
{'loss': 0.9353, 'learning_rate': 4.00056882821388e-05, 'epoch': 49.99}
{'loss': 0.9206, 'learning_rate': 3.9605802047781574e-05, 'epoch': 50.99}
{'loss': 0.9106, 'learning_rate': 3.920591581342435e-05, 'epoch': 51.99}
{'loss': 0.9009, 'learning_rate': 3.880602957906713e-05, 'epoch': 52.98}
{'loss': 0.8887, 'learning_rate': 3.84061433447099e-05, 'epoch': 53.98}
{'loss': 0.8808, 'learning_rate': 3.800625711035268e-05, 'epoch': 54.98}
{'loss': 0.8737, 'learning_rate': 3.760637087599545e-05, 'epoch': 55.98}
{'loss': 0.8624, 'learning_rate': 3.7206484641638225e-05, 'epoch': 56.98}
{'loss': 0.8526, 'learning_rate': 3.6806598407281e-05, 'epoch': 57.98}
{'loss': 0.8469, 'learning_rate': 3.640671217292377e-05, 'epoch': 58.98}
{'loss': 0.8372, 'learning_rate': 3.600682593856655e-05, 'epoch': 59.98}
{'loss': 0.8253, 'learning_rate': 3.560693970420933e-05, 'epoch': 60.98}
{'loss': 0.8163, 'learning_rate': 3.5207053469852105e-05, 'epoch': 61.98}
{'loss': 0.8059, 'learning_rate': 3.480716723549488e-05, 'epoch': 62.98}
{'loss': 0.7975, 'learning_rate': 3.440728100113766e-05, 'epoch': 63.98}
{'loss': 0.788, 'learning_rate': 3.400739476678043e-05, 'epoch': 64.98}
{'loss': 0.7821, 'learning_rate': 3.360750853242321e-05, 'epoch': 65.98}
{'loss': 0.7741, 'learning_rate': 3.3207622298065985e-05, 'epoch': 66.98}
{'loss': 0.7654, 'learning_rate': 3.280773606370876e-05, 'epoch': 67.98}
{'loss': 0.7593, 'learning_rate': 3.240784982935154e-05, 'epoch': 68.98}
{'loss': 0.7531, 'learning_rate': 3.200796359499431e-05, 'epoch': 69.98}
{'loss': 0.741, 'learning_rate': 3.160807736063709e-05, 'epoch': 70.98}
{'loss': 0.7315, 'learning_rate': 3.1208191126279865e-05, 'epoch': 71.98}
{'loss': 0.728, 'learning_rate': 3.080830489192264e-05, 'epoch': 72.98}
{'loss': 0.7179, 'learning_rate': 3.0408418657565417e-05, 'epoch': 73.98}
{'loss': 0.7132, 'learning_rate': 3.0008532423208194e-05, 'epoch': 74.98}
{'loss': 0.7022, 'learning_rate': 2.9608646188850968e-05, 'epoch': 75.98}
{'loss': 0.6972, 'learning_rate': 2.9208759954493742e-05, 'epoch': 76.98}
{'loss': 0.6895, 'learning_rate': 2.880887372013652e-05, 'epoch': 77.98}
{'loss': 0.6802, 'learning_rate': 2.8408987485779297e-05, 'epoch': 78.98}
{'loss': 0.6792, 'learning_rate': 2.800910125142207e-05, 'epoch': 79.98}
{'loss': 0.6687, 'learning_rate': 2.760921501706485e-05, 'epoch': 80.98}
{'loss': 0.6627, 'learning_rate': 2.7209328782707626e-05, 'epoch': 81.98}
{'loss': 0.6552, 'learning_rate': 2.6809442548350396e-05, 'epoch': 82.98}
{'loss': 0.6476, 'learning_rate': 2.6409556313993174e-05, 'epoch': 83.98}
{'loss': 0.6458, 'learning_rate': 2.600967007963595e-05, 'epoch': 84.98}
{'loss': 0.6355, 'learning_rate': 2.5609783845278725e-05, 'epoch': 85.98}
{'loss': 0.6328, 'learning_rate': 2.5209897610921503e-05, 'epoch': 86.98}
{'loss': 0.6238, 'learning_rate': 2.4810011376564277e-05, 'epoch': 87.97}
{'loss': 0.6158, 'learning_rate': 2.4410125142207054e-05, 'epoch': 88.97}
{'loss': 0.6147, 'learning_rate': 2.401023890784983e-05, 'epoch': 89.97}
{'loss': 0.6073, 'learning_rate': 2.3610352673492605e-05, 'epoch': 90.97}
{'loss': 0.5976, 'learning_rate': 2.3210466439135383e-05, 'epoch': 91.97}
{'loss': 0.5916, 'learning_rate': 2.281058020477816e-05, 'epoch': 92.97}
{'loss': 0.5867, 'learning_rate': 2.241069397042093e-05, 'epoch': 93.97}
{'loss': 0.5806, 'learning_rate': 2.2010807736063708e-05, 'epoch': 94.97}
{'loss': 0.5755, 'learning_rate': 2.1610921501706486e-05, 'epoch': 95.97}
{'loss': 0.5721, 'learning_rate': 2.121103526734926e-05, 'epoch': 96.97}
{'loss': 0.5638, 'learning_rate': 2.0811149032992037e-05, 'epoch': 97.97}
{'loss': 0.5581, 'learning_rate': 2.0411262798634814e-05, 'epoch': 98.97}
{'loss': 0.5524, 'learning_rate': 2.001137656427759e-05, 'epoch': 99.97}
{'loss': 0.547, 'learning_rate': 1.9611490329920366e-05, 'epoch': 100.97}
{'loss': 0.5424, 'learning_rate': 1.921160409556314e-05, 'epoch': 101.97}
{'loss': 0.5386, 'learning_rate': 1.8811717861205917e-05, 'epoch': 102.97}
{'loss': 0.5323, 'learning_rate': 1.8411831626848695e-05, 'epoch': 103.97}
{'loss': 0.5285, 'learning_rate': 1.8011945392491465e-05, 'epoch': 104.97}
{'loss': 0.526, 'learning_rate': 1.7612059158134243e-05, 'epoch': 105.97}
{'loss': 0.5188, 'learning_rate': 1.721217292377702e-05, 'epoch': 106.97}
{'loss': 0.5146, 'learning_rate': 1.6812286689419794e-05, 'epoch': 107.97}
{'loss': 0.5103, 'learning_rate': 1.641240045506257e-05, 'epoch': 108.97}
{'loss': 0.5074, 'learning_rate': 1.601251422070535e-05, 'epoch': 109.97}
{'loss': 0.4977, 'learning_rate': 1.5612627986348123e-05, 'epoch': 110.97}
{'loss': 0.4959, 'learning_rate': 1.52127417519909e-05, 'epoch': 111.97}
{'loss': 0.4902, 'learning_rate': 1.4812855517633674e-05, 'epoch': 112.97}
{'loss': 0.4857, 'learning_rate': 1.441296928327645e-05, 'epoch': 113.97}
{'loss': 0.4829, 'learning_rate': 1.4013083048919227e-05, 'epoch': 114.97}
{'loss': 0.4801, 'learning_rate': 1.3613196814562003e-05, 'epoch': 115.97}
{'loss': 0.4715, 'learning_rate': 1.3213310580204779e-05, 'epoch': 116.97}
{'loss': 0.4682, 'learning_rate': 1.2813424345847554e-05, 'epoch': 117.97}
{'loss': 0.4624, 'learning_rate': 1.241353811149033e-05, 'epoch': 118.97}
{'loss': 0.4583, 'learning_rate': 1.2013651877133106e-05, 'epoch': 119.97}
{'loss': 0.4566, 'learning_rate': 1.1613765642775882e-05, 'epoch': 120.97}
{'loss': 0.454, 'learning_rate': 1.1213879408418659e-05, 'epoch': 121.97}
{'loss': 0.4495, 'learning_rate': 1.0813993174061435e-05, 'epoch': 122.97}
{'loss': 0.4441, 'learning_rate': 1.0414106939704209e-05, 'epoch': 123.96}
{'loss': 0.4437, 'learning_rate': 1.0014220705346984e-05, 'epoch': 124.96}
{'loss': 0.4368, 'learning_rate': 9.614334470989762e-06, 'epoch': 125.96}
{'loss': 0.4324, 'learning_rate': 9.214448236632537e-06, 'epoch': 126.96}
{'loss': 0.4331, 'learning_rate': 8.814562002275313e-06, 'epoch': 127.96}
{'loss': 0.4262, 'learning_rate': 8.41467576791809e-06, 'epoch': 128.96}
{'loss': 0.4229, 'learning_rate': 8.014789533560865e-06, 'epoch': 129.96}
{'loss': 0.4179, 'learning_rate': 7.61490329920364e-06, 'epoch': 130.96}
{'loss': 0.4175, 'learning_rate': 7.215017064846417e-06, 'epoch': 131.96}
{'loss': 0.4144, 'learning_rate': 6.8151308304891925e-06, 'epoch': 132.96}
{'loss': 0.4125, 'learning_rate': 6.415244596131968e-06, 'epoch': 133.96}
{'loss': 0.4066, 'learning_rate': 6.015358361774745e-06, 'epoch': 134.96}
{'loss': 0.4069, 'learning_rate': 5.61547212741752e-06, 'epoch': 135.96}
{'loss': 0.4019, 'learning_rate': 5.215585893060296e-06, 'epoch': 136.96}
{'loss': 0.3997, 'learning_rate': 4.815699658703072e-06, 'epoch': 137.96}
{'loss': 0.3989, 'learning_rate': 4.4158134243458475e-06, 'epoch': 138.96}
{'loss': 0.3952, 'learning_rate': 4.015927189988623e-06, 'epoch': 139.96}
{'loss': 0.3937, 'learning_rate': 3.6160409556313993e-06, 'epoch': 140.96}
{'loss': 0.3899, 'learning_rate': 3.2161547212741754e-06, 'epoch': 141.96}
{'loss': 0.3889, 'learning_rate': 2.816268486916951e-06, 'epoch': 142.96}
{'loss': 0.3864, 'learning_rate': 2.416382252559727e-06, 'epoch': 143.96}
{'loss': 0.385, 'learning_rate': 2.0164960182025025e-06, 'epoch': 144.96}
{'loss': 0.3849, 'learning_rate': 1.6166097838452787e-06, 'epoch': 145.96}
{'loss': 0.3831, 'learning_rate': 1.2167235494880546e-06, 'epoch': 146.96}
{'loss': 0.3815, 'learning_rate': 8.168373151308305e-07, 'epoch': 147.96}
{'loss': 0.3798, 'learning_rate': 4.1695108077360635e-07, 'epoch': 148.96}
{'loss': 0.3787, 'learning_rate': 1.706484641638225e-08, 'epoch': 149.96}
{'train_runtime': 120612.7403, 'train_samples_per_second': 4.373, 'total_flos': 1.2767003945031785e+18, 'epoch': 150.0}
###########bert_wwm#########
{'loss': 4.2294, 'learning_rate': 4.9500142207053476e-05, 'epoch': 1.0}
{'loss': 2.9228, 'learning_rate': 4.900028441410694e-05, 'epoch': 2.0}
{'loss': 2.5516, 'learning_rate': 4.850042662116041e-05, 'epoch': 3.0}
{'loss': 2.3523, 'learning_rate': 4.800056882821388e-05, 'epoch': 4.0}
{'loss': 2.2095, 'learning_rate': 4.7500711035267356e-05, 'epoch': 5.0}
{'loss': 2.0963, 'learning_rate': 4.7000853242320816e-05, 'epoch': 6.0}
{'loss': 2.0179, 'learning_rate': 4.650099544937429e-05, 'epoch': 7.0}
{'loss': 1.9421, 'learning_rate': 4.600113765642776e-05, 'epoch': 8.0}
{'loss': 1.8802, 'learning_rate': 4.5501279863481236e-05, 'epoch': 9.0}
{'loss': 1.8324, 'learning_rate': 4.5001422070534696e-05, 'epoch': 10.0}
{'loss': 1.7821, 'learning_rate': 4.450156427758817e-05, 'epoch': 11.0}
{'loss': 1.7369, 'learning_rate': 4.400170648464164e-05, 'epoch': 12.0}
{'loss': 1.6996, 'learning_rate': 4.350184869169511e-05, 'epoch': 13.0}
{'loss': 1.6612, 'learning_rate': 4.3001990898748576e-05, 'epoch': 14.0}
{'loss': 1.6293, 'learning_rate': 4.250213310580205e-05, 'epoch': 15.0}
{'loss': 1.599, 'learning_rate': 4.200227531285552e-05, 'epoch': 16.0}
{'loss': 1.5679, 'learning_rate': 4.150241751990899e-05, 'epoch': 17.0}
{'loss': 1.5443, 'learning_rate': 4.1002559726962456e-05, 'epoch': 17.99}
{'loss': 1.5161, 'learning_rate': 4.050270193401593e-05, 'epoch': 18.99}
{'loss': 1.4918, 'learning_rate': 4.00028441410694e-05, 'epoch': 19.99}
{'loss': 1.4678, 'learning_rate': 3.950298634812287e-05, 'epoch': 20.99}
{'loss': 1.4438, 'learning_rate': 3.900312855517634e-05, 'epoch': 21.99}
{'loss': 1.4219, 'learning_rate': 3.850327076222981e-05, 'epoch': 22.99}
{'loss': 1.4062, 'learning_rate': 3.8003412969283284e-05, 'epoch': 23.99}
{'loss': 1.3847, 'learning_rate': 3.7503555176336743e-05, 'epoch': 24.99}
{'loss': 1.3649, 'learning_rate': 3.700369738339022e-05, 'epoch': 25.99}
{'loss': 1.3476, 'learning_rate': 3.650383959044369e-05, 'epoch': 26.99}
{'loss': 1.3321, 'learning_rate': 3.600398179749716e-05, 'epoch': 27.99}
{'loss': 1.3138, 'learning_rate': 3.5504124004550624e-05, 'epoch': 28.99}
{'loss': 1.3027, 'learning_rate': 3.50042662116041e-05, 'epoch': 29.99}
{'loss': 1.2845, 'learning_rate': 3.450440841865757e-05, 'epoch': 30.99}
{'loss': 1.2692, 'learning_rate': 3.400455062571104e-05, 'epoch': 31.99}
{'loss': 1.2534, 'learning_rate': 3.3504692832764504e-05, 'epoch': 32.99}
{'loss': 1.239, 'learning_rate': 3.300483503981798e-05, 'epoch': 33.99}
{'loss': 1.2249, 'learning_rate': 3.250497724687145e-05, 'epoch': 34.99}
{'loss': 1.2089, 'learning_rate': 3.200511945392492e-05, 'epoch': 35.99}
{'loss': 1.1966, 'learning_rate': 3.1505261660978384e-05, 'epoch': 36.99}
{'loss': 1.1834, 'learning_rate': 3.100540386803186e-05, 'epoch': 37.99}
{'loss': 1.1722, 'learning_rate': 3.0505546075085327e-05, 'epoch': 38.99}
{'loss': 1.1574, 'learning_rate': 3.0005688282138794e-05, 'epoch': 39.99}
{'loss': 1.152, 'learning_rate': 2.9505830489192264e-05, 'epoch': 40.99}
{'loss': 1.1378, 'learning_rate': 2.9005972696245738e-05, 'epoch': 41.99}
{'loss': 1.124, 'learning_rate': 2.85061149032992e-05, 'epoch': 42.99}
{'loss': 1.1155, 'learning_rate': 2.8006257110352674e-05, 'epoch': 43.99}
{'loss': 1.1013, 'learning_rate': 2.7506399317406144e-05, 'epoch': 44.99}
{'loss': 1.092, 'learning_rate': 2.7006541524459618e-05, 'epoch': 45.99}
{'loss': 1.0806, 'learning_rate': 2.650668373151308e-05, 'epoch': 46.99}
{'loss': 1.07, 'learning_rate': 2.6006825938566555e-05, 'epoch': 47.99}
{'loss': 1.0588, 'learning_rate': 2.5506968145620025e-05, 'epoch': 48.99}
{'loss': 1.052, 'learning_rate': 2.5007110352673495e-05, 'epoch': 49.99}
{'loss': 1.0355, 'learning_rate': 2.4507252559726965e-05, 'epoch': 50.99}
{'loss': 1.0279, 'learning_rate': 2.4007394766780435e-05, 'epoch': 51.99}
{'loss': 1.0201, 'learning_rate': 2.3507536973833905e-05, 'epoch': 52.98}
{'loss': 1.0073, 'learning_rate': 2.3007679180887375e-05, 'epoch': 53.98}
{'loss': 1.0001, 'learning_rate': 2.250782138794084e-05, 'epoch': 54.98}
{'loss': 0.9927, 'learning_rate': 2.200796359499431e-05, 'epoch': 55.98}
{'loss': 0.9829, 'learning_rate': 2.150810580204778e-05, 'epoch': 56.98}
{'loss': 0.9734, 'learning_rate': 2.100824800910125e-05, 'epoch': 57.98}
{'loss': 0.9693, 'learning_rate': 2.050839021615472e-05, 'epoch': 58.98}
{'loss': 0.9614, 'learning_rate': 2.0008532423208192e-05, 'epoch': 59.98}
{'loss': 0.9501, 'learning_rate': 1.9508674630261662e-05, 'epoch': 60.98}
{'loss': 0.939, 'learning_rate': 1.9008816837315132e-05, 'epoch': 61.98}
{'loss': 0.9324, 'learning_rate': 1.8508959044368602e-05, 'epoch': 62.98}
{'loss': 0.9231, 'learning_rate': 1.8009101251422072e-05, 'epoch': 63.98}
{'loss': 0.9155, 'learning_rate': 1.7509243458475542e-05, 'epoch': 64.98}
